Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Credit amount,Duration,Purpose
0,67,1,2,0,1,1169,6,radio/TV
1,22,0,2,0,1,5951,48,radio/TV
2,49,1,1,0,1,2096,12,education
3,45,1,2,1,1,7882,42,furniture/equipment
4,53,1,2,1,1,4870,24,car
5,35,1,1,1,4,9055,36,education
6,53,1,2,0,4,2835,24,furniture/equipment
7,35,1,3,2,1,6948,36,car
8,61,1,1,0,3,3059,12,radio/TV
9,28,1,3,0,1,5234,30,car
10,25,0,2,2,1,1295,12,car
11,24,0,2,2,1,4308,48,business
12,22,0,2,0,1,1567,12,radio/TV
13,60,1,1,0,1,1199,24,car
14,28,0,2,2,1,1403,15,car
15,32,0,1,0,2,1282,24,radio/TV
16,53,1,2,0,1,2424,24,radio/TV
17,25,1,2,0,1,8072,30,business
18,44,0,3,1,1,12579,24,car
19,31,1,2,0,4,3430,24,radio/TV
20,48,1,2,0,1,2134,9,car
21,44,1,2,2,4,2647,6,radio/TV
22,48,1,1,2,1,2241,10,car
23,44,1,2,0,2,1804,12,car
24,26,1,2,0,1,2069,10,furniture/equipment
25,36,1,1,0,1,1374,6,furniture/equipment
26,39,1,1,0,1,426,6,radio/TV
27,42,0,2,2,3,409,12,radio/TV
28,34,1,2,0,1,2415,7,radio/TV
29,63,1,2,0,1,6836,60,business
30,36,1,2,0,3,1913,18,business
31,27,1,2,0,1,4020,24,furniture/equipment
32,30,1,2,0,2,5866,18,car
33,57,1,1,2,1,1264,12,business
34,33,0,3,0,1,1474,12,furniture/equipment
35,25,1,1,0,1,4746,45,radio/TV
36,31,1,2,1,1,6110,48,education
37,37,1,2,0,1,2100,18,radio/TV
38,37,1,2,0,1,1225,10,domestic appliances
39,24,1,2,0,1,458,9,radio/TV
40,30,1,3,0,4,2333,30,radio/TV
41,26,1,2,0,4,1158,12,radio/TV
42,44,1,1,0,1,6204,18,repairs
43,24,1,2,2,2,6187,30,car
44,58,0,1,1,1,6143,48,car
45,35,0,3,0,1,1393,11,car
46,39,1,2,0,4,2299,36,radio/TV
47,23,0,0,2,4,1352,6,car
48,39,1,1,0,1,7228,11,car
49,28,0,2,0,2,2073,12,radio/TV
50,29,1,1,0,1,2333,24,furniture/equipment
51,30,1,3,0,1,5965,27,car
52,25,1,2,0,1,1262,12,radio/TV
53,31,1,2,0,1,3378,18,car
54,57,1,2,1,1,2225,36,car
55,26,1,1,0,1,783,6,car
56,52,1,3,0,1,6468,12,radio/TV
57,31,0,2,0,1,9566,36,radio/TV
58,23,0,3,0,1,1961,18,car
59,23,0,1,2,1,6229,36,furniture/equipment
60,27,1,2,0,1,1391,9,business
61,50,1,2,0,1,1537,15,radio/TV
62,61,1,3,1,1,1953,36,business
63,25,1,2,0,1,14421,48,business
64,26,0,2,0,1,3181,24,radio/TV
65,48,1,2,0,1,5190,27,repairs
66,29,0,2,0,1,2171,12,radio/TV
67,22,1,2,0,3,1007,12,car
68,37,1,2,1,1,1819,36,education
69,25,0,2,0,1,2394,36,radio/TV
70,30,0,2,0,1,8133,36,car
71,46,1,1,2,1,730,7,radio/TV
72,51,1,3,1,1,1164,8,vacation/others
73,41,0,1,0,1,5954,42,business
74,40,1,3,0,1,1977,36,education
75,66,1,3,1,1,1526,12,car
76,34,1,2,0,1,3965,42,radio/TV
77,51,1,2,0,1,4771,11,radio/TV
78,39,1,1,0,1,9436,54,car
79,22,1,2,0,1,3832,30,furniture/equipment
80,44,0,2,0,4,5943,24,radio/TV
81,47,1,2,0,4,1213,15,radio/TV
82,24,0,1,2,2,1568,18,business
83,58,0,1,0,1,1755,24,vacation/others
84,52,1,1,0,1,2315,10,radio/TV
85,29,0,3,0,1,1412,12,business
86,27,0,2,0,1,1295,18,furniture/equipment
87,47,1,2,1,2,12612,36,education
88,30,1,3,0,2,2249,18,car
89,28,1,2,0,1,1108,12,repairs
90,56,1,2,0,1,618,12,radio/TV
91,54,1,2,0,1,1409,12,car
92,33,0,1,0,3,797,12,radio/TV
93,20,1,2,2,3,3617,24,furniture/equipment
94,54,1,2,0,3,1318,12,car
95,58,1,2,2,1,15945,54,business
96,61,0,2,0,2,2012,12,education
97,34,1,2,0,2,2622,18,business
98,36,1,2,0,1,2337,36,radio/TV
99,36,1,3,2,2,7057,20,car
100,41,1,1,2,2,1469,24,car
101,24,1,2,2,1,2323,36,radio/TV
102,24,0,2,0,1,932,6,radio/TV
103,35,1,2,2,1,1919,9,furniture/equipment
104,26,1,2,2,1,2445,12,car
105,39,1,3,0,1,11938,24,vacation/others
106,39,1,3,0,1,6458,18,car
107,32,1,2,0,1,6078,12,car
108,30,0,2,0,4,7721,24,furniture/equipment
109,35,1,2,0,4,1410,14,business
110,31,1,2,0,2,1449,6,business
111,23,0,2,2,1,392,15,education
112,28,1,1,2,1,6260,18,car
113,25,0,2,0,1,7855,36,car
114,35,1,2,0,4,1680,12,radio/TV
115,47,1,2,0,4,3578,48,radio/TV
116,30,0,3,0,4,7174,42,radio/TV
117,27,0,2,2,4,2132,10,furniture/equipment
118,23,0,2,0,4,4281,33,furniture/equipment
119,36,1,3,0,4,2366,12,car
120,25,0,2,0,1,1835,21,radio/TV
121,41,0,3,2,1,3868,24,car
122,24,1,1,2,1,1768,12,furniture/equipment
123,63,1,2,1,1,781,10,car
124,27,0,2,2,1,1924,18,furniture/equipment
125,30,1,2,0,1,2121,12,car
126,40,1,1,0,1,701,12,radio/TV
127,30,1,2,0,1,639,12,repairs
128,34,1,3,0,1,1860,12,car
129,29,0,2,0,1,3499,12,car
130,24,0,2,0,1,8487,48,car
131,29,1,2,0,1,6887,36,education
132,27,1,1,0,1,2708,15,furniture/equipment
133,47,1,2,1,1,1984,18,furniture/equipment
134,21,0,2,0,2,10144,60,radio/TV
135,38,0,2,0,3,1240,12,radio/TV
136,27,1,2,0,3,8613,27,car
137,66,1,1,0,4,766,12,radio/TV
138,35,1,2,0,1,2728,15,radio/TV
139,44,0,1,2,1,1881,12,radio/TV
140,27,1,0,0,3,709,6,car
141,30,0,3,0,1,4795,36,radio/TV
142,27,1,3,0,1,3416,27,radio/TV
143,22,1,2,0,1,2462,18,furniture/equipment
144,23,0,2,0,1,2288,21,furniture/equipment
145,30,1,2,0,2,3566,48,business
146,39,0,2,0,1,860,6,car
147,51,0,2,0,2,682,12,car
148,28,1,2,0,1,5371,36,furniture/equipment
149,46,1,2,0,3,1582,18,radio/TV
150,42,1,2,1,2,1346,6,radio/TV
151,38,1,2,0,1,1924,10,radio/TV
152,24,1,2,0,1,5848,36,radio/TV
153,29,0,2,2,3,7758,24,car
154,36,1,3,2,2,6967,24,business
155,20,0,2,2,1,1282,12,furniture/equipment
156,48,1,2,0,2,1288,9,repairs
157,45,1,1,0,1,339,12,education
158,38,1,2,0,2,3512,24,car
159,34,1,1,0,2,1898,6,radio/TV
160,36,1,2,0,2,2872,24,radio/TV
161,30,0,2,0,1,1055,18,car
162,36,1,2,0,4,1262,15,domestic appliances
163,70,1,3,1,1,7308,10,car
164,36,1,2,0,4,909,36,car
165,32,1,2,0,4,2978,6,furniture/equipment
166,33,0,2,0,1,1131,18,furniture/equipment
167,20,0,2,0,3,1577,11,furniture/equipment
168,25,0,2,2,1,3972,24,furniture/equipment
169,31,1,2,0,1,1935,24,business
170,33,1,2,2,1,950,15,car
171,26,0,2,0,1,763,12,furniture/equipment
172,34,0,3,0,1,2064,24,furniture/equipment
173,33,1,2,0,1,1414,8,radio/TV
174,26,1,2,0,1,3414,21,education
175,53,0,3,0,1,7485,30,car
176,42,1,2,0,1,2577,12,furniture/equipment
177,52,1,2,0,4,338,6,radio/TV
178,31,1,3,2,1,1963,12,radio/TV
179,65,1,2,0,1,571,21,car
180,28,1,2,0,1,9572,36,business
181,30,1,3,0,1,4455,36,business
182,40,1,1,0,3,1647,21,car
183,50,1,2,0,3,3777,24,furniture/equipment
184,36,1,2,0,1,884,18,car
185,31,1,2,0,1,1360,15,radio/TV
186,74,0,3,1,1,5129,9,car
187,68,1,0,1,1,1175,16,car
188,20,1,2,0,2,674,12,radio/TV
189,33,0,2,0,1,3244,18,furniture/equipment
190,54,1,3,0,3,4591,24,business
191,34,1,1,1,2,3844,48,business
192,36,1,2,0,1,3915,27,business
193,29,1,2,2,1,2108,6,radio/TV
194,21,1,2,2,2,3031,45,radio/TV
195,34,0,3,0,1,1501,9,education
196,28,0,2,0,1,1382,6,radio/TV
197,27,0,2,2,2,951,12,furniture/equipment
198,36,1,2,1,1,2760,24,car
199,40,1,3,0,1,4297,18,furniture/equipment
200,52,1,2,0,4,936,9,education
201,27,1,1,0,1,1168,12,car
202,26,1,2,0,1,5117,27,business
203,21,1,2,2,1,902,12,education
204,38,1,1,0,1,1495,12,car
205,38,1,3,1,1,10623,30,car
206,43,1,2,0,1,1935,12,furniture/equipment
207,26,1,2,0,1,1424,12,domestic appliances
208,21,1,1,0,1,6568,24,business
209,55,1,2,0,3,1413,12,car
210,33,1,2,0,1,3074,9,radio/TV
211,45,0,1,0,1,3835,36,radio/TV
212,50,1,2,0,1,5293,27,business
213,66,1,3,0,1,1908,30,business
214,51,1,2,0,1,3342,36,radio/TV
215,39,0,1,0,1,932,6,education
216,31,1,2,0,1,3104,18,business
217,23,1,2,0,1,3913,36,radio/TV
218,24,1,1,2,1,3021,24,furniture/equipment
219,64,0,2,0,1,1364,10,car
220,26,1,1,0,1,625,12,radio/TV
221,23,0,2,2,1,1200,12,education
222,30,1,2,0,1,707,12,radio/TV
223,32,1,2,0,1,2978,24,business
224,30,1,2,0,1,4657,15,car
225,27,1,2,0,1,2613,36,repairs
226,27,1,2,0,3,10961,48,radio/TV
227,53,1,3,1,1,7865,12,furniture/equipment
228,22,1,2,0,1,1478,9,radio/TV
229,22,1,2,1,1,3149,24,furniture/equipment
230,26,1,2,0,1,4210,36,radio/TV
231,51,1,1,1,4,2507,9,car
232,35,1,2,0,2,2141,12,radio/TV
233,25,1,1,0,1,866,18,radio/TV
234,42,1,1,0,1,1544,4,radio/TV
235,30,1,3,0,1,1823,24,radio/TV
236,23,1,0,0,2,14555,6,car
237,61,1,1,2,2,2767,21,business
238,35,0,2,0,1,1291,12,radio/TV
239,39,1,2,0,1,2522,30,radio/TV
240,29,0,2,0,1,915,24,car
241,51,1,2,0,1,1595,6,radio/TV
242,24,1,2,1,1,4605,48,car
243,27,0,2,0,1,1185,12,business
244,35,0,1,0,4,3447,12,education
245,25,1,2,0,1,1258,24,business
246,52,1,2,0,1,717,12,radio/TV
247,35,1,2,2,2,1204,6,car
248,26,1,2,0,1,1925,24,furniture/equipment
249,22,0,2,2,1,433,18,radio/TV
250,39,0,1,0,3,666,6,car
251,46,0,1,0,1,2251,12,furniture/equipment
252,24,0,2,0,1,2150,30,car
253,35,1,2,0,2,4151,24,furniture/equipment
254,24,1,2,0,1,2030,9,furniture/equipment
255,27,1,1,0,1,7418,60,radio/TV
256,35,1,1,0,1,2684,24,radio/TV
257,29,1,2,1,1,2149,12,radio/TV
258,23,0,2,0,2,3812,15,car
259,57,0,1,0,2,1154,11,radio/TV
260,27,1,2,0,1,1657,12,furniture/equipment
261,55,0,2,0,1,1603,24,radio/TV
262,36,1,3,1,1,5302,18,car
263,57,0,1,1,1,2748,12,education
264,32,1,1,0,1,1231,10,car
265,37,1,2,0,1,802,15,radio/TV
266,36,1,2,0,1,6304,36,business
267,38,0,2,0,1,1533,24,radio/TV
268,45,1,3,0,1,8978,14,car
269,25,1,2,0,4,999,24,radio/TV
270,32,1,2,0,4,2662,18,car
271,37,0,2,2,4,1402,12,furniture/equipment
272,36,1,3,1,1,12169,48,car
273,28,1,2,0,1,3060,48,radio/TV
274,34,1,1,0,1,11998,30,repairs
275,32,1,2,0,1,2697,9,radio/TV
276,26,0,2,0,1,2404,18,radio/TV
277,49,1,1,0,1,1262,12,furniture/equipment
278,32,0,2,0,1,4611,6,furniture/equipment
279,29,1,3,2,2,1901,24,radio/TV
280,23,1,2,2,3,3368,15,car
281,50,1,2,0,1,1574,12,furniture/equipment
282,49,1,1,0,2,1445,18,radio/TV
283,63,1,2,0,2,1520,15,furniture/equipment
284,37,1,2,0,2,3878,24,car
285,35,0,1,0,1,10722,47,car
286,26,1,2,0,1,4788,48,car
287,31,1,3,1,2,7582,48,vacation/others
288,49,0,2,0,1,1092,12,radio/TV
289,48,1,2,0,1,1024,24,radio/TV
290,26,1,2,0,1,1076,12,business
291,28,1,3,2,1,9398,36,car
292,44,0,3,1,1,6419,24,car
293,56,1,2,1,1,4796,42,car
294,46,1,3,0,1,7629,48,business
295,26,0,2,0,1,9960,48,furniture/equipment
296,20,0,2,2,1,4675,12,car
297,45,1,1,0,1,1287,10,car
298,43,1,2,0,1,2515,18,furniture/equipment
299,32,1,2,0,3,2745,21,furniture/equipment
300,54,0,0,0,1,672,6,car
301,42,0,2,0,1,3804,36,radio/TV
302,37,1,1,0,1,1344,24,car
303,49,1,2,0,1,1038,10,car
304,44,1,2,1,4,10127,48,car
305,33,1,2,0,3,1543,6,furniture/equipment
306,24,0,1,2,2,4811,30,car
307,33,1,1,0,2,727,12,radio/TV
308,24,0,2,0,1,1237,8,furniture/equipment
309,22,1,1,2,1,276,9,car
310,40,1,0,1,2,5381,48,vacation/others
311,25,1,2,0,2,5511,24,furniture/equipment
312,26,0,2,0,1,3749,24,furniture/equipment
313,25,1,1,0,1,685,12,car
314,29,1,1,0,1,1494,4,car
315,31,1,2,0,1,2746,36,furniture/equipment
316,38,1,1,0,1,708,12,furniture/equipment
317,48,0,1,0,1,4351,24,furniture/equipment
318,32,1,2,0,1,701,12,education
319,27,0,1,0,1,3643,15,furniture/equipment
320,28,1,3,0,1,4249,30,car
321,32,1,2,0,1,1938,24,radio/TV
322,34,1,3,1,1,2910,24,car
323,28,1,2,0,3,2659,18,furniture/equipment
324,36,0,2,0,1,1028,18,car
325,39,1,1,0,1,3398,8,car
326,49,1,2,2,3,5801,12,furniture/equipment
327,34,0,2,0,3,1525,24,car
328,31,1,2,0,1,4473,36,radio/TV
329,28,1,2,0,1,1068,6,radio/TV
330,75,1,3,1,1,6615,24,car
331,30,0,2,0,2,1864,18,education
332,24,0,3,0,2,7408,60,car
333,24,0,1,2,2,11590,48,car
334,23,1,2,2,1,4110,24,furniture/equipment
335,44,1,3,2,1,3384,6,furniture/equipment
336,23,0,1,0,1,2101,13,radio/TV
337,24,0,2,2,1,1275,15,domestic appliances
338,28,1,2,0,1,4169,24,furniture/equipment
339,31,1,1,0,1,1521,10,furniture/equipment
340,24,0,2,1,1,5743,24,education
341,26,0,1,2,1,3599,21,furniture/equipment
342,25,1,2,2,4,3213,18,radio/TV
343,33,1,3,0,1,4439,18,business
344,37,1,1,0,1,3949,10,car
345,43,0,1,0,1,1459,15,radio/TV
346,23,1,2,0,1,882,13,radio/TV
347,23,0,0,2,4,3758,24,radio/TV
348,34,1,1,0,2,1743,6,business
349,32,1,2,1,3,1136,9,education
350,23,0,2,2,1,1236,9,domestic appliances
351,29,0,2,0,1,959,9,furniture/equipment
352,38,1,3,0,1,3229,18,car
353,28,1,2,2,1,6199,12,radio/TV
354,46,1,2,1,4,727,10,education
355,23,1,1,0,1,1246,24,car
356,49,1,2,0,1,2331,12,radio/TV
357,26,1,3,0,1,4463,36,radio/TV
358,28,1,2,0,1,776,12,radio/TV
359,23,0,2,2,1,2406,30,furniture/equipment
360,61,1,2,1,1,1239,18,education
361,37,1,3,0,1,3399,12,radio/TV
362,36,0,2,0,1,2247,12,car
363,21,1,2,2,1,1766,6,furniture/equipment
364,25,1,0,0,1,2473,18,furniture/equipment
365,36,1,2,0,1,1542,12,business
366,27,1,2,0,1,3850,18,car
367,22,0,2,2,1,3650,18,furniture/equipment
368,42,1,2,0,1,3446,36,furniture/equipment
369,40,0,2,2,1,3001,18,furniture/equipment
370,36,1,2,0,1,3079,36,car
371,33,1,2,0,1,6070,18,radio/TV
372,23,0,2,2,1,2146,10,furniture/equipment
373,63,1,3,1,2,13756,60,car
374,60,0,3,1,2,14782,60,vacation/others
375,37,0,2,2,1,7685,48,business
376,34,1,2,0,1,2320,18,radio/TV
377,36,1,2,1,1,846,7,radio/TV
378,57,1,3,1,1,14318,36,car
379,52,0,1,0,2,362,6,car
380,39,1,2,0,1,2212,20,furniture/equipment
381,38,0,3,1,1,12976,18,car
382,25,0,2,2,1,1283,22,car
383,26,1,2,0,1,1330,12,car
384,26,1,1,0,2,4272,30,business
385,25,0,2,0,1,2238,18,radio/TV
386,21,0,2,2,1,1126,18,radio/TV
387,40,1,3,0,1,7374,18,furniture/equipment
388,27,1,2,0,4,2326,15,business
389,27,0,2,0,1,1449,9,business
390,30,1,3,0,1,1820,18,car
391,19,0,1,2,3,983,12,furniture/equipment
392,39,1,3,1,1,3249,36,car
393,31,0,2,0,1,1957,6,radio/TV
394,31,1,3,0,1,2406,9,furniture/equipment
395,32,1,2,2,2,11760,39,education
396,55,0,3,1,1,2578,12,furniture/equipment
397,46,1,2,0,1,2348,36,furniture/equipment
398,46,1,2,2,1,1223,12,car
399,43,0,1,0,3,1516,24,radio/TV
400,39,1,2,0,1,1473,18,radio/TV
401,28,1,2,0,1,1887,18,business
402,27,1,2,0,1,8648,24,business
403,27,1,1,0,1,802,14,car
404,43,1,2,0,1,2899,18,car
405,22,1,2,0,1,2039,24,radio/TV
406,43,1,2,0,1,2197,24,car
407,27,1,2,0,1,1053,15,radio/TV
408,26,1,3,0,4,3235,24,radio/TV
409,28,1,2,0,4,939,12,car
410,20,0,2,0,1,1967,24,radio/TV
411,35,1,3,0,1,7253,33,car
412,42,1,3,0,1,2292,12,business
413,40,1,1,2,4,1597,10,car
414,35,0,2,0,1,1381,24,car
415,35,1,2,0,1,5842,36,car
416,33,1,1,0,1,2579,12,car
417,23,0,2,2,4,8471,18,education
418,31,0,3,0,4,2782,21,car
419,33,0,2,0,3,1042,18,car
420,20,0,2,2,3,3186,15,car
421,30,1,2,0,1,2028,12,car
422,47,1,1,0,1,958,12,car
423,34,1,3,0,2,1591,21,furniture/equipment
424,25,0,2,0,1,2762,12,furniture/equipment
425,21,1,2,2,1,2779,18,car
426,29,1,2,0,1,2743,28,radio/TV
427,46,1,2,0,3,1149,18,radio/TV
428,20,1,2,0,1,1313,9,furniture/equipment
429,55,0,0,1,1,1190,18,repairs
430,74,1,1,0,1,3448,5,business
431,29,1,3,0,1,11328,24,vacation/others
432,36,1,3,1,1,1872,6,furniture/equipment
433,33,1,2,0,1,2058,24,repairs
434,25,1,2,0,1,2136,9,furniture/equipment
435,25,1,2,0,4,1484,12,radio/TV
436,23,1,1,2,4,660,6,repairs
437,37,0,2,0,3,1287,24,car
438,65,1,0,0,1,3394,42,repairs
439,26,0,0,0,1,609,12,business
440,39,1,3,0,1,1884,12,car
441,30,0,2,0,1,1620,12,furniture/equipment
442,29,1,2,0,1,2629,20,vacation/others
443,41,1,1,0,1,719,12,education
444,30,0,3,0,1,5096,48,furniture/equipment
445,41,0,1,2,1,1244,9,education
446,34,0,2,0,1,1842,36,car
447,35,1,2,0,1,2576,7,radio/TV
448,55,0,3,0,3,1424,12,furniture/equipment
449,61,1,2,0,3,1512,15,repairs
450,30,1,3,0,1,11054,36,car
451,29,0,2,0,1,518,6,radio/TV
452,34,1,2,0,1,2759,12,furniture/equipment
453,35,1,3,0,1,2670,24,car
454,31,1,2,0,1,4817,24,car
455,29,0,3,0,1,2679,24,car
456,36,1,2,2,1,3905,11,car
457,35,1,2,1,1,3386,12,car
458,27,0,2,0,1,343,6,domestic appliances
459,32,1,2,0,1,4594,18,radio/TV
460,37,1,2,0,1,3620,36,furniture/equipment
461,36,1,2,0,1,1721,15,car
462,34,0,3,2,1,3017,12,furniture/equipment
463,38,1,2,0,1,754,12,education
464,34,1,2,0,1,1950,18,business
465,63,1,2,0,1,2924,24,car
466,29,0,1,2,1,1659,24,radio/TV
467,32,1,2,0,1,7238,48,radio/TV
468,26,0,2,0,1,2764,33,business
469,35,1,1,0,1,4679,24,car
470,22,1,2,2,2,3092,24,radio/TV
471,23,0,2,0,1,448,6,education
472,28,1,1,0,1,654,9,car
473,36,1,3,0,1,1238,6,education
474,33,1,2,0,1,1245,18,radio/TV
475,26,0,2,2,1,3114,18,furniture/equipment
476,24,1,2,0,4,2569,39,car
477,25,1,2,0,1,5152,24,radio/TV
478,39,1,1,0,2,1037,12,business
479,44,1,2,0,1,1478,15,furniture/equipment
480,23,0,1,0,1,3573,12,radio/TV
481,26,1,2,0,1,1201,24,car
482,57,0,2,2,3,3622,30,furniture/equipment
483,30,0,2,0,3,960,15,furniture/equipment
484,44,1,2,0,4,1163,12,car
485,47,1,3,0,1,1209,6,car
486,52,1,2,0,1,3077,12,radio/TV
487,62,0,2,1,1,3757,24,car
488,35,1,1,2,2,1418,10,car
489,26,1,2,2,1,3518,6,car
490,26,1,2,0,1,1934,12,radio/TV
491,42,0,3,1,1,8318,27,business
492,27,0,2,0,2,1237,6,radio/TV
493,38,1,2,0,1,368,6,radio/TV
494,39,1,1,2,1,2122,12,car
495,20,1,2,0,2,2996,24,furniture/equipment
496,29,1,3,2,2,9034,36,furniture/equipment
497,40,1,2,0,1,1585,24,furniture/equipment
498,32,1,1,0,1,1301,18,radio/TV
499,28,1,2,0,2,1323,6,car
500,27,0,2,0,1,3123,24,car
501,42,1,2,1,1,5493,36,car
502,49,1,2,0,2,1126,9,radio/TV
503,38,1,2,0,2,1216,24,radio/TV
504,24,0,2,2,1,1207,24,car
505,27,1,1,0,4,1309,10,car
506,36,1,2,0,4,2360,15,car
507,34,1,3,0,2,6850,15,car
508,28,1,2,0,1,1413,24,radio/TV
509,45,1,3,0,2,8588,39,car
510,26,1,2,0,1,759,12,car
511,32,1,3,1,1,4686,36,car
