Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Credit amount,Duration,Purpose
0,67,1,2,0,0,1169,6,0.0
1,22,0,2,0,1,5951,48,0.0
2,49,1,1,0,1,2096,12,1.0
3,45,1,2,1,1,7882,42,2.0
4,53,1,2,1,1,4870,24,3.0
5,35,1,1,1,0,9055,36,1.0
6,53,1,2,0,4,2835,24,2.0
7,35,1,3,2,1,6948,36,3.0
8,61,1,1,0,3,3059,12,0.0
9,28,1,3,0,1,5234,30,3.0
10,25,0,2,2,1,1295,12,3.0
11,24,0,2,2,1,4308,48,
12,22,0,2,0,1,1567,12,0.0
13,60,1,1,0,1,1199,24,3.0
14,28,0,2,2,1,1403,15,3.0
15,32,0,1,0,2,1282,24,0.0
16,53,1,2,0,0,2424,24,0.0
17,25,1,2,0,0,8072,30,
18,44,0,3,1,1,12579,24,3.0
19,31,1,2,0,4,3430,24,0.0
20,48,1,2,0,1,2134,9,3.0
21,44,1,2,2,4,2647,6,0.0
22,48,1,1,2,1,2241,10,3.0
23,44,1,2,0,2,1804,12,3.0
24,26,1,2,0,0,2069,10,2.0
25,36,1,1,0,1,1374,6,2.0
26,39,1,1,0,1,426,6,0.0
27,42,0,2,2,3,409,12,0.0
28,34,1,2,0,1,2415,7,0.0
29,63,1,2,0,1,6836,60,
30,36,1,2,0,3,1913,18,
31,27,1,2,0,1,4020,24,2.0
32,30,1,2,0,2,5866,18,3.0
33,57,1,1,2,0,1264,12,
34,33,0,3,0,1,1474,12,2.0
35,25,1,1,0,1,4746,45,0.0
36,31,1,2,1,1,6110,48,1.0
37,37,1,2,0,1,2100,18,0.0
38,37,1,2,0,1,1225,10,
39,24,1,2,0,1,458,9,0.0
40,30,1,3,0,4,2333,30,0.0
41,26,1,2,0,4,1158,12,0.0
42,44,1,1,0,1,6204,18,
43,24,1,2,2,2,6187,30,3.0
44,58,0,1,1,1,6143,48,3.0
45,35,0,3,0,1,1393,11,3.0
46,39,1,2,0,4,2299,36,0.0
47,23,0,0,2,4,1352,6,3.0
48,39,1,1,0,1,7228,11,3.0
49,28,0,2,0,2,2073,12,0.0
50,29,1,1,0,0,2333,24,2.0
51,30,1,3,0,1,5965,27,3.0
52,25,1,2,0,1,1262,12,0.0
53,31,1,2,0,0,3378,18,3.0
54,57,1,2,1,1,2225,36,3.0
55,26,1,1,0,0,783,6,3.0
56,52,1,3,0,0,6468,12,0.0
57,31,0,2,0,1,9566,36,0.0
58,23,0,3,0,1,1961,18,3.0
59,23,0,1,2,1,6229,36,2.0
60,27,1,2,0,1,1391,9,
61,50,1,2,0,0,1537,15,0.0
62,61,1,3,1,1,1953,36,
63,25,1,2,0,1,14421,48,
64,26,0,2,0,1,3181,24,0.0
65,48,1,2,0,0,5190,27,
66,29,0,2,0,1,2171,12,0.0
